22:34:38.032809 [queue=0] packet #100, 127.0.0.1:55634 -> 127.0.0.1:8007, sz=0 is delivered
22:34:38.033357 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:55634, sz=23 is delivered
22:34:38.033913 [queue=0] packet #101, 127.0.0.1:55634 -> 127.0.0.1:8007, sz=23 is delivered
22:34:38.034084 [queue=0] packet #1, 127.0.0.1:55634 -> 127.0.0.1:8007, sz=21 is delivered
22:35:29.331521 [queue=0] packet #100, 127.0.0.1:47942 -> 127.0.0.1:8007, sz=0 is delivered
22:35:29.332057 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:47942, sz=23 is delivered
22:35:29.332511 [queue=0] packet #101, 127.0.0.1:47942 -> 127.0.0.1:8007, sz=23 is delivered
22:35:29.332726 [queue=0] packet #1, 127.0.0.1:47942 -> 127.0.0.1:8007, sz=21 is delivered
22:38:37.856354 config: drop-rate=0.00, max-delay=0s, seed=1479440317856223603
22:38:37.856669 router is listening at :3000
22:38:44.013746 [queue=0] packet #100, 127.0.0.1:39129 -> 127.0.0.1:8007, sz=0 is delivered
22:38:44.014235 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:39129, sz=23 is delivered
22:38:44.014695 [queue=0] packet #101, 127.0.0.1:39129 -> 127.0.0.1:8007, sz=23 is delivered
22:38:44.014886 [queue=0] packet #1, 127.0.0.1:39129 -> 127.0.0.1:8007, sz=21 is delivered
22:40:17.205452 [queue=0] packet #100, 127.0.0.1:52941 -> 127.0.0.1:8007, sz=0 is delivered
22:40:17.206307 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:52941, sz=23 is delivered
22:40:17.206873 [queue=0] packet #101, 127.0.0.1:52941 -> 127.0.0.1:8007, sz=23 is delivered
22:40:17.207070 [queue=0] packet #1, 127.0.0.1:52941 -> 127.0.0.1:8007, sz=21 is delivered
22:41:06.120043 [queue=0] packet #100, 127.0.0.1:46596 -> 127.0.0.1:8007, sz=0 is delivered
22:41:06.120606 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:46596, sz=23 is delivered
22:41:06.121103 [queue=0] packet #101, 127.0.0.1:46596 -> 127.0.0.1:8007, sz=23 is delivered
22:41:06.121288 [queue=0] packet #1, 127.0.0.1:46596 -> 127.0.0.1:8007, sz=21 is delivered
22:42:06.315625 [queue=0] packet #100, 127.0.0.1:56699 -> 127.0.0.1:8007, sz=0 is delivered
22:42:06.316184 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:56699, sz=23 is delivered
22:42:06.316706 [queue=0] packet #101, 127.0.0.1:56699 -> 127.0.0.1:8007, sz=23 is delivered
22:42:06.316860 [queue=0] packet #1, 127.0.0.1:56699 -> 127.0.0.1:8007, sz=21 is delivered
22:43:12.769465 [queue=0] packet #100, 127.0.0.1:50154 -> 127.0.0.1:8007, sz=0 is delivered
22:43:12.770144 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:50154, sz=23 is delivered
22:43:12.770712 [queue=0] packet #101, 127.0.0.1:50154 -> 127.0.0.1:8007, sz=23 is delivered
22:43:12.770931 [queue=0] packet #1, 127.0.0.1:50154 -> 127.0.0.1:8007, sz=21 is delivered
22:43:57.576591 [queue=0] packet #100, 127.0.0.1:40284 -> 127.0.0.1:8007, sz=0 is delivered
22:43:57.577118 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:40284, sz=23 is delivered
22:43:57.578352 [queue=0] packet #101, 127.0.0.1:40284 -> 127.0.0.1:8007, sz=23 is delivered
22:43:57.578428 [queue=0] packet #1, 127.0.0.1:40284 -> 127.0.0.1:8007, sz=21 is delivered
22:49:08.331434 [queue=0] packet #100, 127.0.0.1:44531 -> 127.0.0.1:8007, sz=0 is delivered
22:49:08.331977 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:44531, sz=23 is delivered
22:49:08.332450 [queue=0] packet #101, 127.0.0.1:44531 -> 127.0.0.1:8007, sz=23 is delivered
22:49:08.332642 [queue=0] packet #1, 127.0.0.1:44531 -> 127.0.0.1:8007, sz=21 is delivered
22:49:20.626873 [queue=0] packet #100, 127.0.0.1:59093 -> 127.0.0.1:8007, sz=0 is delivered
22:49:20.627375 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:59093, sz=23 is delivered
22:49:20.627834 [queue=0] packet #101, 127.0.0.1:59093 -> 127.0.0.1:8007, sz=23 is delivered
22:49:20.628039 [queue=0] packet #1, 127.0.0.1:59093 -> 127.0.0.1:8007, sz=21 is delivered
22:49:20.628597 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59093, sz=37 is delivered
22:49:46.133454 [queue=0] packet #100, 127.0.0.1:52796 -> 127.0.0.1:8007, sz=0 is delivered
22:49:46.134039 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:52796, sz=23 is delivered
22:49:46.134558 [queue=0] packet #101, 127.0.0.1:52796 -> 127.0.0.1:8007, sz=23 is delivered
22:49:46.134776 [queue=0] packet #1, 127.0.0.1:52796 -> 127.0.0.1:8007, sz=21 is delivered
22:49:46.135347 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52796, sz=37 is delivered
22:49:51.601742 [queue=0] packet #100, 127.0.0.1:39829 -> 127.0.0.1:8007, sz=0 is delivered
22:49:51.602245 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:39829, sz=23 is delivered
22:49:51.602735 [queue=0] packet #101, 127.0.0.1:39829 -> 127.0.0.1:8007, sz=23 is delivered
22:49:51.602948 [queue=0] packet #1, 127.0.0.1:39829 -> 127.0.0.1:8007, sz=21 is delivered
22:49:51.603404 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:39829, sz=37 is delivered
22:50:13.832998 [queue=0] packet #100, 127.0.0.1:60827 -> 127.0.0.1:8007, sz=0 is delivered
22:50:13.833557 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:60827, sz=23 is delivered
22:50:13.834070 [queue=0] packet #101, 127.0.0.1:60827 -> 127.0.0.1:8007, sz=23 is delivered
22:50:13.834286 [queue=0] packet #1, 127.0.0.1:60827 -> 127.0.0.1:8007, sz=21 is delivered
22:50:13.834787 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60827, sz=37 is delivered
